Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z
0.000,0,0.001401,2.000000,-0.002706,2.000000,0.012379,2.000000,0.000000,2.000000,0.007418,2.000000,-0.032606,2.000000,0.000000,2.000000,0.001934,0.000645,0.000000,0.000322,-0.001289,-0.002578
0.010,0,-0.001401,2.000000,-0.005413,2.000000,-0.055705,2.000000,-0.038039,2.000000,-0.024726,2.000000,-0.018632,2.000000,-0.039019,2.000000,0.001934,-0.000645,0.001289,0.000645,-0.000322,0.000000
0.020,0,0.001401,2.000000,0.000000,2.000000,0.024758,2.000000,0.003170,2.000000,0.029671,2.000000,-0.018632,2.000000,-0.019509,2.000000,0.000967,0.000000,0.000967,-0.000322,-0.000967,-0.000322
0.030,0,-0.001401,2.000000,-0.005413,2.000000,-0.034042,2.000000,-0.019019,2.000000,-0.012363,2.000000,-0.006987,2.000000,-0.025083,2.000000,0.001289,0.000645,0.000967,0.000322,-0.000645,-0.001289
0.040,0,0.000000,2.000000,-0.002706,2.000000,-0.099030,2.000000,-0.034869,2.000000,-0.029671,2.000000,-0.011645,2.000000,-0.036232,2.000000,0.001289,0.000000,-0.000322,0.000645,-0.000967,-0.001289
0.050,0,0.000000,2.000000,-0.001353,2.000000,0.006189,2.000000,0.006340,2.000000,0.007418,2.000000,-0.097818,2.000000,0.000000,2.000000,0.001934,0.000000,-0.000645,0.000967,-0.000967,-0.000967
0.060,0,0.000000,2.000000,-0.002706,2.000000,-0.046420,2.000000,-0.028529,2.000000,-0.034616,2.000000,-0.011645,2.000000,-0.039019,2.000000,0.001289,-0.000322,-0.000967,0.000322,0.000322,-0.000967
0.070,0,0.001401,2.000000,-0.004060,2.000000,0.027852,2.000000,-0.104607,2.000000,0.019781,2.000000,-0.039593,2.000000,-0.027871,2.000000,0.000967,-0.000322,0.000000,-0.000322,-0.000645,-0.000967
0.080,0,-0.002801,2.000000,-0.004060,2.000000,-0.034042,2.000000,-0.022189,2.000000,-0.012363,2.000000,-0.009316,2.000000,-0.005574,2.000000,0.000967,-0.000645,0.000000,0.000000,-0.000967,-0.000967
0.090,0,0.001401,2.000000,-0.002706,2.000000,-0.108314,2.000000,-0.038039,2.000000,-0.032143,2.000000,-0.020961,2.000000,-0.039019,2.000000,0.000645,-0.000322,-0.000645,-0.001289,-0.001934,-0.002578
0.100,0,0.002801,2.000000,-0.001353,2.000000,0.000000,2.000000,0.009510,2.000000,0.004945,2.000000,0.009316,2.000000,-0.002787,2.000000,0.000967,-0.000645,-0.000967,-0.000645,-0.001611,-0.001289
0.110,0,0.004202,2.000000,-0.001353,2.000000,-0.043326,2.000000,-0.034869,2.000000,-0.017308,2.000000,-0.023290,2.000000,-0.025083,2.000000,0.000645,-0.000322,-0.000322,0.000000,-0.000645,-0.001289
0.120,0,0.000000,2.000000,-0.005413,2.000000,0.027852,2.000000,-0.114116,2.000000,-0.064287,2.000000,-0.016303,2.000000,-0.061315,2.000000,0.000967,-0.000645,-0.000645,-0.000645,-0.002256,-0.000967
0.130,0,-0.001401,2.000000,-0.002706,2.000000,-0.034042,2.000000,-0.012680,2.000000,-0.017308,2.000000,-0.018632,2.000000,-0.019509,2.000000,0.000645,-0.000645,-0.001289,-0.000322,-0.000967,-0.001289
0.140,0,-0.001401,2.000000,-0.001353,2.000000,-0.003095,2.000000,-0.041209,2.000000,-0.034616,2.000000,-0.030277,2.000000,-0.050167,2.000000,0.000322,-0.000967,0.000000,-0.000322,-0.001611,-0.001289
0.150,0,-0.001401,2.000000,-0.002706,2.000000,-0.006189,2.000000,0.003170,2.000000,0.009890,2.000000,0.000000,2.000000,0.005574,2.000000,0.000967,0.000000,0.000000,0.000322,-0.000967,-0.001289
0.160,0,-0.002801,2.000000,-0.001353,2.000000,-0.046420,2.000000,-0.031699,2.000000,-0.024726,2.000000,-0.016303,2.000000,-0.030658,2.000000,0.000645,-0.000967,-0.000645,0.000322,0.000000,-0.000967
0.170,0,0.007003,2.000000,0.000000,2.000000,0.030947,2.000000,-0.114116,2.000000,0.024726,2.000000,-0.104805,2.000000,-0.091973,2.000000,0.000967,-0.000967,0.000000,0.000322,-0.000645,0.000000
0.180,0,0.004202,2.000000,0.001353,2.000000,-0.024758,2.000000,-0.022189,2.000000,-0.019781,2.000000,-0.027948,2.000000,-0.016722,2.000000,0.001289,-0.000967,-0.000645,0.000000,-0.000967,-0.000322
0.190,0,0.002801,2.000000,-0.001353,2.000000,-0.129977,2.000000,-0.031699,2.000000,-0.024726,2.000000,-0.023290,2.000000,-0.039019,2.000000,0.000645,-0.000967,0.000322,0.000000,-0.000645,-0.000322
0.200,0,0.002801,2.000000,0.001353,2.000000,0.003095,2.000000,0.003170,2.000000,0.012363,2.000000,0.002329,2.000000,0.005574,2.000000,0.000645,-0.000645,0.000645,0.000645,-0.000322,-0.000967
0.210,0,0.000000,2.000000,-0.004060,2.000000,-0.055705,2.000000,-0.022189,2.000000,-0.012363,2.000000,-0.032606,2.000000,-0.033445,2.000000,0.001289,-0.000645,-0.000645,-0.000322,-0.000322,-0.000967
0.220,0,-0.001401,2.000000,0.002706,2.000000,0.027852,2.000000,-0.041209,2.000000,-0.061814,2.000000,-0.030277,2.000000,-0.105908,2.000000,0.001289,-0.000645,-0.000322,0.000645,-0.000322,0.000322
0.230,0,0.001401,2.000000,-0.002706,2.000000,-0.034042,2.000000,-0.009510,2.000000,-0.002473,2.000000,-0.013974,2.000000,-0.011148,2.000000,0.002256,0.000322,0.000000,0.000967,-0.000322,0.000000
0.240,0,0.000000,2.000000,-0.006766,2.000000,-0.111409,2.000000,-0.041209,2.000000,-0.019781,2.000000,-0.039593,2.000000,-0.033445,2.000000,0.001934,0.000645,0.000000,0.000645,0.000322,-0.001289
0.250,0,0.002801,2.000000,0.002706,2.000000,0.003095,2.000000,0.003170,2.000000,0.017308,2.000000,0.000000,2.000000,0.008361,2.000000,0.001934,0.000000,0.000000,0.000645,0.000000,-0.000967
0.260,0,0.001401,2.000000,-0.002706,2.000000,-0.055705,2.000000,-0.034869,2.000000,-0.022253,2.000000,-0.027948,2.000000,-0.030658,2.000000,0.001611,-0.000322,0.000322,0.000322,0.000000,0.000322
0.270,0,0.002801,2.000000,-0.002706,2.000000,0.027852,2.000000,0.015850,2.000000,-0.032143,2.000000,-0.100147,2.000000,-0.027871,2.000000,0.000645,0.000645,-0.000322,0.000967,-0.000322,-0.000645
0.280,0,-0.005603,2.000000,0.000000,2.000000,-0.037136,2.000000,-0.031699,2.000000,-0.012363,2.000000,-0.020961,2.000000,-0.016722,2.000000,0.001934,-0.000645,0.000967,0.000967,-0.000645,-0.000645
0.290,0,0.000000,2.000000,-0.004060,2.000000,-0.089746,2.000000,-0.041209,2.000000,-0.032143,2.000000,-0.032606,2.000000,-0.044593,2.000000,0.002256,0.000322,0.000645,0.000322,-0.000645,-0.000967
0.300,0,0.000000,2.000000,-0.001353,2.000000,0.006189,2.000000,0.006340,2.000000,0.009890,2.000000,0.006987,2.000000,-0.002787,2.000000,0.000967,0.000000,0.000322,0.000645,0.000000,-0.000645
0.310,0,0.002801,2.000000,-0.001353,2.000000,-0.030947,2.000000,-0.038039,2.000000,-0.014835,2.000000,-0.023290,2.000000,-0.033445,2.000000,0.000967,0.000000,-0.000322,0.000645,-0.000645,-0.001611
0.320,0,0.001401,2.000000,-0.001353,2.000000,0.030947,2.000000,-0.114116,2.000000,-0.069232,2.000000,-0.041922,2.000000,-0.013935,2.000000,0.001611,0.000000,0.000322,0.001934,-0.000967,-0.000645
0.330,0,0.001401,2.000000,0.000000,2.000000,-0.012379,2.000000,-0.012680,2.000000,-0.002473,2.000000,-0.018632,2.000000,-0.016722,2.000000,0.001934,0.000322,-0.000322,0.000000,-0.001289,-0.000645
0.340,0,-0.004202,2.000000,-0.004060,2.000000,-0.055705,2.000000,-0.041209,2.000000,-0.029671,2.000000,-0.020961,2.000000,-0.061315,2.000000,0.002256,0.000645,0.000000,0.000645,-0.001289,-0.000967
0.350,0,-0.004202,2.000000,-0.001353,2.000000,0.009284,2.000000,0.009510,2.000000,0.012363,2.000000,0.004658,2.000000,-0.008361,2.000000,0.001611,0.000322,0.000967,0.000322,-0.001611,-0.000967
0.360,0,0.000000,2.000000,-0.002706,2.000000,-0.040231,2.000000,-0.022189,2.000000,-0.034616,2.000000,-0.016303,2.000000,-0.047380,2.000000,0.001611,0.000322,0.000645,0.000000,-0.000967,-0.001611
0.370,0,0.001401,2.000000,-0.001353,2.000000,0.037136,2.000000,-0.107777,2.000000,0.019781,2.000000,-0.037264,2.000000,-0.125417,2.000000,0.000967,0.000322,-0.000645,-0.000645,-0.001289,-0.001289
0.380,0,0.000000,2.000000,-0.001353,2.000000,-0.018568,2.000000,-0.019019,2.000000,-0.009890,2.000000,-0.018632,2.000000,-0.008361,2.000000,0.000967,0.000322,-0.000322,0.000000,-0.001289,-0.000967
0.390,0,0.000000,2.000000,-0.001353,2.000000,-0.046420,2.000000,-0.038039,2.000000,-0.024726,2.000000,-0.020961,2.000000,-0.033445,2.000000,0.001934,-0.000645,-0.001289,-0.000645,-0.000967,-0.002256
0.400,0,-0.001401,2.000000,-0.001353,2.000000,0.015473,2.000000,0.003170,2.000000,0.007418,2.000000,0.002329,2.000000,0.008361,2.000000,0.000645,-0.000967,-0.000645,-0.000645,-0.000645,-0.000967
0.410,0,0.001401,2.000000,-0.004060,2.000000,-0.043326,2.000000,-0.028529,2.000000,-0.024726,2.000000,-0.016303,2.000000,-0.027871,2.000000,0.001611,0.000967,-0.000645,0.000000,-0.001611,-0.002578
0.420,0,0.005603,2.000000,0.001353,2.000000,0.034042,2.000000,-0.022189,2.000000,0.019781,2.000000,-0.025619,2.000000,-0.075250,2.000000,0.000645,-0.000967,-0.001289,-0.000645,-0.001934,-0.001611
0.430,0,0.000000,2.000000,-0.001353,2.000000,-0.006189,2.000000,-0.022189,2.000000,-0.012363,2.000000,-0.006987,2.000000,-0.022296,2.000000,0.000322,-0.001611,0.000322,-0.000322,-0.001934,-0.000967
0.440,0,0.000000,2.000000,-0.002706,2.000000,-0.046420,2.000000,-0.022189,2.000000,-0.044506,2.000000,-0.027948,2.000000,-0.050167,2.000000,0.000967,-0.000967,-0.000967,-0.000322,-0.000645,0.000000
0.450,0,-0.002801,2.000000,-0.005413,2.000000,0.012379,2.000000,0.006340,2.000000,0.002473,2.000000,0.011645,2.000000,-0.002787,2.000000,0.000645,-0.000322,-0.000645,-0.000645,-0.000967,-0.000967
0.460,0,0.001401,2.000000,0.000000,2.000000,-0.034042,2.000000,-0.034869,2.000000,-0.022253,2.000000,-0.025619,2.000000,-0.039019,2.000000,0.000645,-0.000967,-0.000645,0.000000,-0.001611,-0.001289
0.470,0,0.002801,2.000000,0.000000,2.000000,0.034042,2.000000,-0.104607,2.000000,0.027198,2.000000,-0.037264,2.000000,-0.091973,2.000000,0.001611,0.000000,-0.000645,0.000322,-0.000645,-0.000645
0.480,0,0.000000,2.000000,-0.004060,2.000000,-0.018568,2.000000,-0.015850,2.000000,-0.017308,2.000000,-0.016303,2.000000,-0.008361,2.000000,0.000967,-0.000645,-0.001934,0.000322,-0.000645,0.000000
0.490,0,0.000000,2.000000,-0.004060,2.000000,-0.040231,2.000000,-0.031699,2.000000,-0.032143,2.000000,-0.034935,2.000000,-0.039019,2.000000,0.001289,-0.000967,-0.000322,0.000322,0.000322,0.000000
0.500,0,0.001401,2.000000,0.001353,2.000000,0.006189,2.000000,0.015850,2.000000,0.014835,2.000000,0.009316,2.000000,-0.002787,2.000000,0.001289,0.000645,0.000645,0.000967,0.000000,-0.000645
0.510,0,0.002801,2.000000,-0.002706,2.000000,-0.024758,2.000000,-0.031699,2.000000,-0.014835,2.000000,-0.020961,2.000000,-0.036232,2.000000,0.001611,-0.000967,-0.000645,0.000000,-0.000645,0.000322
0.520,0,-0.001401,2.000000,-0.005413,2.000000,0.018568,2.000000,-0.095097,2.000000,-0.002473,2.000000,-0.025619,2.000000,-0.105908,2.000000,0.001289,0.000000,0.000000,0.001289,0.000000,-0.000322
0.530,0,0.001401,2.000000,-0.005413,2.000000,-0.018568,2.000000,-0.015850,2.000000,-0.012363,2.000000,-0.011645,2.000000,-0.030658,2.000000,0.001289,-0.000645,0.000645,0.000645,0.000322,0.000322
0.540,0,0.000000,2.000000,-0.002706,2.000000,-0.046420,2.000000,-0.044379,2.000000,-0.039561,2.000000,-0.020961,2.000000,-0.052954,2.000000,0.001934,0.000000,0.000000,0.000000,-0.000645,-0.000322
0.550,0,0.001401,2.000000,-0.001353,2.000000,0.006189,2.000000,0.006340,2.000000,0.012363,2.000000,0.006987,2.000000,-0.002787,2.000000,0.001289,0.000645,0.000645,0.000322,0.000322,-0.001289
0.560,0,-0.001401,2.000000,-0.002706,2.000000,-0.052610,2.000000,-0.034869,2.000000,-0.022253,2.000000,-0.027948,2.000000,-0.030658,2.000000,0.001611,0.000322,-0.000645,0.000322,0.000000,-0.001611
0.570,0,0.001401,2.000000,-0.001353,2.000000,0.034042,2.000000,0.015850,2.000000,0.014835,2.000000,-0.027948,2.000000,-0.100334,2.000000,0.001611,0.000000,0.000000,0.001289,0.000322,-0.000645
0.580,0,0.000000,2.000000,0.002706,2.000000,-0.021663,2.000000,-0.025359,2.000000,-0.004945,2.000000,-0.009316,2.000000,-0.033445,2.000000,0.001611,0.000322,0.000000,0.000645,-0.000645,-0.001611
0.590,0,0.001401,2.000000,-0.002706,2.000000,-0.040231,2.000000,-0.034869,2.000000,-0.032143,2.000000,-0.027948,2.000000,-0.058528,2.000000,0.001611,0.000322,0.000322,0.000322,-0.000645,-0.000967
0.600,0,0.002801,2.000000,0.001353,2.000000,0.018568,2.000000,0.006340,2.000000,0.004945,2.000000,0.009316,2.000000,0.000000,2.000000,0.001289,0.000645,-0.000967,0.000645,-0.000967,-0.000967
0.610,0,-0.005603,2.000000,-0.005413,2.000000,-0.034042,2.000000,-0.028529,2.000000,-0.029671,2.000000,-0.013974,2.000000,-0.033445,2.000000,0.001289,0.000645,0.000000,0.000322,0.000000,-0.000645
0.620,0,-0.001401,2.000000,-0.002706,2.000000,0.027852,2.000000,0.019019,2.000000,0.022253,2.000000,-0.039593,2.000000,-0.100334,2.000000,0.001934,0.000000,0.000000,0.001289,-0.000645,-0.000967
0.630,0,0.002801,2.000000,-0.002706,2.000000,-0.012379,2.000000,-0.025359,2.000000,-0.002473,2.000000,-0.013974,2.000000,-0.022296,2.000000,0.000645,0.000967,0.000645,0.000322,-0.000967,-0.001289
0.640,0,-0.002801,2.000000,-0.001353,2.000000,-0.024758,2.000000,-0.028529,2.000000,-0.034616,2.000000,-0.027948,2.000000,-0.036232,2.000000,0.002256,0.000322,0.000000,0.000645,-0.000645,-0.001289
0.650,0,0.000000,2.000000,-0.002706,2.000000,0.021663,2.000000,-0.003170,2.000000,0.007418,2.000000,0.004658,2.000000,0.005574,2.000000,0.002256,0.000645,-0.000645,0.000322,-0.000322,-0.002256
0.660,0,0.002801,2.000000,-0.004060,2.000000,-0.018568,2.000000,-0.034869,2.000000,-0.029671,2.000000,-0.027948,2.000000,-0.036232,2.000000,0.002256,0.000000,-0.000645,0.000000,-0.000322,-0.000967
0.670,0,-0.001401,2.000000,0.001353,2.000000,-0.009284,2.000000,-0.009510,2.000000,0.019781,2.000000,-0.037264,2.000000,-0.114269,2.000000,0.001934,-0.000322,0.000322,0.000000,-0.001289,-0.000645
0.680,0,0.000000,2.000000,-0.002706,2.000000,-0.015473,2.000000,-0.022189,2.000000,-0.004945,2.000000,-0.011645,2.000000,-0.005574,2.000000,0.001611,-0.000322,-0.000645,0.000000,-0.001611,-0.001289
0.690,0,0.001401,2.000000,-0.001353,2.000000,-0.037136,2.000000,-0.038039,2.000000,-0.037089,2.000000,-0.034935,2.000000,-0.013935,2.000000,0.001934,-0.000645,-0.000645,-0.000645,-0.000967,-0.000967
0.700,0,0.007003,2.000000,0.000000,2.000000,0.012379,2.000000,0.009510,2.000000,0.007418,2.000000,0.002329,2.000000,0.013935,2.000000,0.001289,-0.000967,-0.000322,-0.000322,-0.001611,-0.000967
0.710,0,-0.002801,2.000000,-0.004060,2.000000,-0.037136,2.000000,-0.034869,2.000000,-0.024726,2.000000,-0.025619,2.000000,-0.039019,2.000000,0.000967,-0.000322,-0.000322,-0.000645,-0.000967,-0.002256
0.720,0,-0.004202,2.000000,0.001353,2.000000,0.037136,2.000000,-0.098267,2.000000,0.017308,2.000000,-0.097818,2.000000,0.008361,2.000000,0.000322,-0.000967,-0.000645,0.000000,-0.001934,-0.000967
0.730,0,0.004202,2.000000,0.002706,2.000000,-0.012379,2.000000,-0.019019,2.000000,-0.009890,2.000000,-0.027948,2.000000,-0.011148,2.000000,0.000645,-0.001611,-0.000645,0.000000,-0.001611,-0.001289
0.740,0,-0.002801,2.000000,-0.002706,2.000000,-0.030947,2.000000,-0.041209,2.000000,-0.042034,2.000000,-0.025619,2.000000,-0.047380,2.000000,0.000967,0.000000,-0.001289,0.000000,-0.000322,-0.000322
0.750,0,0.000000,2.000000,-0.001353,2.000000,0.024758,2.000000,0.009510,2.000000,0.004945,2.000000,0.002329,2.000000,0.002787,2.000000,0.000967,-0.001934,-0.000967,0.000000,-0.000967,-0.001289
0.760,0,0.000000,2.000000,0.001353,2.000000,-0.043326,2.000000,-0.031699,2.000000,-0.024726,2.000000,-0.025619,2.000000,-0.030658,2.000000,0.000645,0.000322,-0.000645,-0.000322,-0.000645,-0.000967
0.770,0,-0.002801,2.000000,0.001353,2.000000,0.021663,2.000000,0.012680,2.000000,0.019781,2.000000,-0.030277,2.000000,-0.108695,2.000000,0.000967,-0.000645,0.000645,0.000000,-0.001611,0.000645
0.780,0,-0.001401,2.000000,-0.005413,2.000000,-0.024758,2.000000,-0.019019,2.000000,-0.017308,2.000000,-0.009316,2.000000,-0.025083,2.000000,0.001289,-0.000967,-0.000322,0.000000,-0.000967,0.000000
0.790,0,-0.002801,2.000000,0.000000,2.000000,-0.049515,2.000000,-0.034869,2.000000,-0.032143,2.000000,-0.023290,2.000000,-0.047380,2.000000,0.000645,0.000000,0.000322,0.000645,-0.000322,-0.000967
0.800,0,0.002801,2.000000,0.000000,2.000000,0.009284,2.000000,0.003170,2.000000,0.004945,2.000000,0.004658,2.000000,0.011148,2.000000,0.000967,-0.000322,0.000000,0.000322,0.000000,-0.000967
0.810,0,-0.002801,2.000000,0.001353,2.000000,-0.049515,2.000000,-0.025359,2.000000,-0.024726,2.000000,-0.016303,2.000000,-0.030658,2.000000,0.001934,0.000000,-0.000322,0.000645,0.000000,-0.001611
0.820,0,0.000000,2.000000,-0.005413,2.000000,0.030947,2.000000,-0.120456,2.000000,0.032143,2.000000,-0.018632,2.000000,-0.103121,2.000000,0.002256,-0.000645,0.000967,0.001289,-0.000322,0.000645
0.830,0,0.002801,2.000000,-0.004060,2.000000,-0.021663,2.000000,-0.022189,2.000000,-0.009890,2.000000,-0.009316,2.000000,-0.025083,2.000000,0.001611,0.000645,0.000967,0.000967,-0.000322,0.000322
0.840,0,0.001401,2.000000,-0.002706,2.000000,-0.058799,2.000000,-0.025359,2.000000,-0.024726,2.000000,-0.025619,2.000000,-0.039019,2.000000,0.001611,-0.000322,-0.000322,0.000000,-0.000645,-0.000967
0.850,0,-0.001401,2.000000,0.002706,2.000000,0.000000,2.000000,0.009510,2.000000,0.007418,2.000000,-0.100147,2.000000,0.002787,2.000000,0.001934,0.000000,0.000645,0.001611,-0.000645,-0.001289
0.860,0,0.004202,2.000000,-0.001353,2.000000,-0.043326,2.000000,-0.034869,2.000000,-0.034616,2.000000,-0.016303,2.000000,-0.030658,2.000000,0.001611,0.001289,0.000645,0.000000,0.000645,0.000000
0.870,0,0.000000,2.000000,0.002706,2.000000,0.034042,2.000000,-0.091927,2.000000,0.017308,2.000000,-0.027948,2.000000,-0.047380,2.000000,0.001934,-0.000322,0.000322,0.000322,0.000000,-0.000322
0.880,0,0.004202,2.000000,-0.001353,2.000000,-0.030947,2.000000,-0.022189,2.000000,-0.002473,2.000000,-0.004658,2.000000,-0.016722,2.000000,0.001611,0.000000,0.000645,0.000967,-0.000967,-0.001934
0.890,0,-0.001401,2.000000,-0.006766,2.000000,-0.099030,2.000000,-0.041209,2.000000,-0.037089,2.000000,-0.016303,2.000000,-0.033445,2.000000,0.002256,0.000322,0.001289,0.000000,-0.000645,-0.000967
0.900,0,0.000000,2.000000,-0.001353,2.000000,0.003095,2.000000,0.006340,2.000000,0.000000,2.000000,0.006987,2.000000,0.002787,2.000000,0.001934,-0.000645,0.000322,0.000645,-0.000967,-0.001289
0.910,0,0.000000,2.000000,-0.005413,2.000000,-0.046420,2.000000,-0.044379,2.000000,-0.022253,2.000000,-0.023290,2.000000,-0.033445,2.000000,0.001934,0.000645,0.000322,0.000645,-0.000322,-0.001934
0.920,0,0.000000,2.000000,0.000000,2.000000,0.024758,2.000000,0.006340,2.000000,0.019781,2.000000,-0.020961,2.000000,-0.030658,2.000000,0.001611,0.000000,-0.000322,-0.000322,-0.000645,-0.000967
0.930,0,-0.004202,2.000000,0.000000,2.000000,-0.030947,2.000000,-0.015850,2.000000,-0.007418,2.000000,-0.002329,2.000000,0.002787,2.000000,0.000967,-0.000322,-0.000322,0.000000,-0.001289,-0.000645
0.940,0,0.000000,2.000000,-0.001353,2.000000,-0.099030,2.000000,-0.053888,2.000000,-0.032143,2.000000,-0.016303,2.000000,-0.047380,2.000000,0.001611,0.000967,-0.000322,0.000322,-0.000322,-0.000967
0.950,0,0.000000,2.000000,0.001353,2.000000,0.012379,2.000000,0.000000,2.000000,0.009890,2.000000,-0.067541,2.000000,0.005574,2.000000,0.001289,-0.000967,0.000322,-0.000322,-0.000967,-0.001611
0.960,0,0.001401,2.000000,-0.006766,2.000000,-0.037136,2.000000,-0.028529,2.000000,-0.029671,2.000000,-0.016303,2.000000,-0.033445,2.000000,0.001611,-0.000322,-0.000322,-0.000322,-0.001611,-0.001934
0.970,0,0.000000,2.000000,-0.002706,2.000000,0.034042,2.000000,-0.091927,2.000000,0.019781,2.000000,-0.034935,2.000000,-0.039019,2.000000,0.001934,0.000000,-0.000322,-0.000967,-0.001611,-0.000967
0.980,0,-0.002801,2.000000,0.001353,2.000000,-0.024758,2.000000,-0.019019,2.000000,-0.012363,2.000000,-0.006987,2.000000,-0.019509,2.000000,0.001289,0.000000,-0.000967,-0.000967,-0.001289,0.000000
0.990,0,0.004202,2.000000,-0.001353,2.000000,-0.049515,2.000000,-0.050718,2.000000,-0.029671,2.000000,-0.020961,2.000000,-0.044593,2.000000,0.000645,-0.000322,-0.000645,-0.000322,-0.001611,-0.000967
1.000,0,0.002801,2.000000,0.001353,2.000000,0.012379,2.000000,0.000000,2.000000,0.007418,2.000000,0.004658,2.000000,0.000000,2.000000,0.000967,0.000000,0.000000,-0.000967,-0.000645,-0.001611
1.010,0,-0.001401,2.000000,-0.002706,2.000000,-0.043326,2.000000,-0.028529,2.000000,-0.024726,2.000000,-0.023290,2.000000,-0.025083,2.000000,0.000645,-0.000967,-0.001289,0.000322,-0.001934,-0.000322
1.020,0,0.005603,2.000000,0.001353,2.000000,0.037136,2.000000,-0.022189,2.000000,0.024726,2.000000,-0.034935,2.000000,-0.033445,2.000000,0.000967,0.000000,0.000000,0.000322,-0.001611,-0.000967
1.030,0,0.001401,2.000000,-0.005413,2.000000,-0.024758,2.000000,-0.022189,2.000000,-0.014835,2.000000,-0.006987,2.000000,-0.011148,2.000000,0.000645,-0.000645,-0.000645,-0.000322,-0.001289,-0.000645
1.040,0,0.002801,2.000000,-0.006766,2.000000,-0.055705,2.000000,-0.034869,2.000000,-0.037089,2.000000,-0.025619,2.000000,-0.050167,2.000000,0.000322,-0.000645,0.000000,0.000645,-0.001611,-0.001289
1.050,0,-0.002801,2.000000,0.000000,2.000000,0.009284,2.000000,-0.003170,2.000000,0.009890,2.000000,-0.100147,2.000000,0.002787,2.000000,0.000645,0.000000,0.000645,0.000322,0.000967,-0.001934
1.060,0,0.005603,2.000000,-0.002706,2.000000,-0.049515,2.000000,-0.031699,2.000000,-0.024726,2.000000,-0.016303,2.000000,-0.041806,2.000000,0.000967,-0.000322,0.000000,0.000322,-0.000967,-0.000645
1.070,0,0.000000,2.000000,-0.001353,2.000000,0.024758,2.000000,-0.091927,2.000000,0.019781,2.000000,-0.039593,2.000000,-0.094760,2.000000,0.000967,-0.000322,0.000000,0.000322,-0.000967,-0.000967
1.080,0,0.001401,2.000000,-0.004060,2.000000,-0.027852,2.000000,-0.022189,2.000000,-0.014835,2.000000,-0.011645,2.000000,-0.019509,2.000000,0.001289,-0.000322,-0.000322,0.000322,0.000000,-0.000967
1.090,0,0.002801,2.000000,-0.005413,2.000000,-0.071178,2.000000,-0.028529,2.000000,-0.039561,2.000000,-0.018632,2.000000,-0.039019,2.000000,0.001934,0.000322,-0.000322,0.000000,-0.000322,-0.000967
1.100,0,0.001401,2.000000,-0.001353,2.000000,0.006189,2.000000,0.009510,2.000000,0.007418,2.000000,0.011645,2.000000,0.000000,2.000000,0.000967,0.000000,0.000322,0.000322,0.000322,0.000322
1.110,0,0.000000,2.000000,-0.001353,2.000000,-0.040231,2.000000,-0.025359,2.000000,-0.019781,2.000000,-0.018632,2.000000,-0.027871,2.000000,0.001289,0.000000,0.000322,0.000322,0.000645,0.000645
1.120,0,-0.001401,2.000000,-0.002706,2.000000,0.030947,2.000000,-0.107777,2.000000,-0.076650,2.000000,-0.009316,2.000000,-0.055741,2.000000,0.001611,-0.000645,0.000322,0.000645,0.000000,-0.001611
1.130,0,0.001401,2.000000,0.000000,2.000000,-0.027852,2.000000,-0.019019,2.000000,-0.009890,2.000000,-0.025619,2.000000,-0.016722,2.000000,0.001611,0.000645,0.000967,0.001611,-0.000322,-0.001934
1.140,0,0.002801,2.000000,0.001353,2.000000,-0.080462,2.000000,-0.057058,2.000000,-0.034616,2.000000,-0.048909,2.000000,-0.047380,2.000000,0.001934,0.000645,0.000967,0.000645,-0.000645,-0.001289
1.150,0,0.001401,2.000000,-0.002706,2.000000,0.009284,2.000000,0.000000,2.000000,0.009890,2.000000,-0.002329,2.000000,0.005574,2.000000,0.001934,0.000322,0.000322,0.000967,-0.000645,-0.001289
1.160,0,0.000000,2.000000,-0.004060,2.000000,-0.043326,2.000000,-0.031699,2.000000,-0.024726,2.000000,-0.030277,2.000000,-0.039019,2.000000,0.001611,0.000645,0.000000,0.000645,-0.000967,-0.000322
1.170,0,0.000000,2.000000,0.000000,2.000000,0.027852,2.000000,-0.126796,2.000000,0.024726,2.000000,-0.025619,2.000000,-0.091973,2.000000,0.001611,0.000322,0.000322,0.000645,-0.000322,-0.000322
1.180,0,0.002801,2.000000,-0.004060,2.000000,-0.024758,2.000000,-0.009510,2.000000,-0.007418,2.000000,-0.011645,2.000000,-0.025083,2.000000,0.001934,0.000967,0.000322,0.000967,-0.000645,-0.001289
1.190,0,0.000000,2.000000,-0.001353,2.000000,-0.080462,2.000000,-0.034869,2.000000,-0.034616,2.000000,-0.002329,2.000000,-0.052954,2.000000,0.002256,0.001289,0.000000,0.000645,0.000000,-0.000322
1.200,0,0.000000,2.000000,-0.001353,2.000000,0.012379,2.000000,0.006340,2.000000,0.004945,2.000000,0.000000,2.000000,0.000000,2.000000,0.001934,0.000000,-0.000322,0.000322,-0.000967,-0.001611
1.210,0,-0.002801,2.000000,0.002706,2.000000,-0.037136,2.000000,-0.022189,2.000000,-0.024726,2.000000,-0.037264,2.000000,-0.041806,2.000000,0.001289,-0.000322,-0.000645,0.000645,-0.000322,-0.001289
